GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-101108-203109-1626164-1628969-1629028-,C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,52,38,14,0.731,705.775,649,1284,0.505,190,483,0.393,222,261,0.851,112,489,601,411,170.0,112,70,41,259,257,1710,76.0,1,1,14814,5169,1,1,1,4373,2,1,4784,2,3,3884,3,2,3,1,14819,2,3,14813,14821,2,1,12
Lineups,-201980-202699-203552-203954-1627732-,D. Green - T. Harris - S. Curry - J. Embiid - B. Simmons,1610612755,PHI,32,27,5,0.844,655.5266666666666,583,1151,0.507,167,386,0.433,296,367,0.807,100,505,605,355,176.0,115,80,56,214,294,1629,215.0,13,5,14449,4837,2,2,2,4366,3,4,4147,1,1,4229,5,1,2,3,14821,1,1,14819,14819,1,2,1
Lineups,-202339-203500-1627742-1628366-1629627-,E. Bledsoe - S. Adams - B. Ingram - L. Ball - Z. Williamson,1610612740,NOP,41,17,24,0.415,609.8916666666667,579,1141,0.507,145,385,0.377,179,261,0.686,152,445,597,373,172.0,80,58,71,161,228,1482,35.0,4,18,14821,7677,3,3,3,4362,5,5,4867,4,3,5406,1,4,4,2,14820,5,5,14820,14815,4,3,57
Lineups,-201144-202711-203497-1626220-1628378-,M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,1610612762,UTA,41,29,12,0.707,593.46,499,1069,0.467,195,479,0.407,214,271,0.79,131,483,614,278,164.0,65,71,48,188,233,1407,127.0,4,4,14798,5225,4,5,4,6749,1,2,4407,3,2,4461,2,3,1,5,14818,8,2,14817,14818,3,4,2
Lineups,-203457-203493-203901-203944-1629628-,N. Noel - R. Bullock - E. Payton - J. Randle - R. Barrett,1610612752,NYK,41,25,16,0.61,554.2033333333334,462,981,0.471,142,339,0.419,159,211,0.754,94,372,466,254,154.0,84,63,72,240,170,1225,-52.0,4,7,14817,5817,5,6,6,6681,6,6,4339,8,8,4603,7,7,7,7,14817,4,4,14821,14820,8,6,14814
Lineups,-201572-201950-203114-203507-1628978-,B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - D. DiVincenzo,1610612749,MIL,45,31,14,0.689,507.575,519,997,0.521,155,411,0.377,161,219,0.735,88,416,504,314,152.0,93,54,38,161,207,1354,120.0,2,3,14814,5247,6,4,5,4252,4,3,4865,7,5,5178,9,5,5,4,14816,3,6,14812,14815,5,5,3
Lineups,-202685-203937-1628415-1628960-1629630-,J. Valanciunas - K. Anderson - D. Brooks - G. Allen - J. Morant,1610612763,MEM,35,19,16,0.543,457.39,434,894,0.485,116,311,0.373,168,216,0.778,107,378,485,262,115.0,75,41,49,169,178,1152,73.0,10,14,14817,6041,7,7,7,6484,10,8,4976,6,6,4497,4,6,6,6,14815,6,8,14818,14817,6,7,14
Lineups,-203084-1626158-1627741-1628368-1628963-,H. Barnes - R. Holmes - B. Hield - D. Fox - M. Bagley III,1610612758,SAC,32,15,17,0.469,424.64,418,805,0.519,123,284,0.433,125,185,0.676,90,307,397,251,102.0,61,34,47,153,171,1084,57.0,13,27,14819,7597,8,8,8,4268,8,11,4145,9,9,5421,8,9,9,8,14812,9,11,14815,14813,7,8,22
Lineups,-203084-1626158-1627741-1628368-1630169-,H. Barnes - R. Holmes - B. Hield - D. Fox - T. Haliburton,1610612758,SAC,40,20,20,0.5,403.69666666666666,383,748,0.512,109,302,0.361,174,213,0.817,74,283,357,218,102.0,54,48,22,157,167,1049,72.0,7,13,14820,6055,9,9,9,4338,12,9,5062,5,7,4197,10,10,10,9,14812,11,7,14801,14814,9,9,16
Lineups,-203493-203901-203944-1629011-1629628-,R. Bullock - E. Payton - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,23,12,11,0.522,395.1016666666667,331,716,0.462,66,187,0.353,102,146,0.699,95,319,414,177,112.0,48,33,47,144,134,830,18.0,33,46,14792,6053,10,11,11,6818,22,20,5102,13,10,5379,6,8,8,13,14814,15,13,14815,14812,11,11,193
